FIGHT_ID,BOUT,reason,method,outcome
6390c8e74630473e,Tom Aspinall vs. Ciryl Gane,method_excluded;outcome_nc,Could Not Continue,NC/NC
d822ebc7dbc6c259,Zach Reese vs. Sedriques Dumas,method_excluded;outcome_nc,Could Not Continue,NC/NC
08c04f18b0f58d71,Mansur Abdul-Malik vs. Cody Brundage,method_excluded,Overturned,D/D
13e2ff8b3a122094,Paul Craig vs. Rodolfo Bellato,method_excluded;outcome_nc,Could Not Continue,NC/NC
46fa8e79fe8a9539,Abdul Razak Alhassan vs. Cody Brundage,method_excluded;outcome_nc,Could Not Continue,NC/NC
a7fd9da657bbce8e,Bryan Battle vs. Ange Loosa,method_excluded;outcome_nc,Could Not Continue,NC/NC
6cd542650d886c22,Daniel Marcos vs. Aoriqileng,method_excluded;outcome_nc,Could Not Continue,NC/NC
415ea2520b7ba720,Aliaskhab Khizriev vs. Makhmud Muradov,method_excluded;outcome_nc,Could Not Continue,NC/NC
6e5a3d6b6ed84ac3,Trey Ogden vs. Nikolas Motta,method_excluded;outcome_nc,Overturned,NC/NC
821960adf5bfa15c,Magomed Ankalaev vs. Johnny Walker,method_excluded;outcome_nc,Could Not Continue,NC/NC
0d1af8c6a5793185,Javid Basharat vs. Victor Henry,method_excluded;outcome_nc,Could Not Continue,NC/NC
b78545b32a97ac44,Dan Argueta vs. Miles Johns,method_excluded;outcome_nc,Overturned,NC/NC
5d3e046b6bcd49f5,Edgar Chairez vs. Daniel Lacerda,method_excluded;outcome_nc,Overturned,NC/NC
73370221b3fa3676,Holly Holm vs. Mayra Bueno Silva,method_excluded;outcome_nc,Overturned,NC/NC
2874ea5d2f783e23,Austen Lane vs. Justin Tafa,method_excluded;outcome_nc,Could Not Continue,NC/NC
9a2d3ebab827d333,Dan Argueta vs. Ronnie Lawrence,method_excluded;outcome_nc,Overturned,NC/NC
96eaf07b34538b8b,Nassourdine Imavov vs. Chris Curtis,method_excluded;outcome_nc,Could Not Continue,NC/NC
640d52630f4f8a61,King Green vs. Jared Gordon,method_excluded;outcome_nc,Could Not Continue,NC/NC
5a2b86570110191b,Don'Tale Mayes vs. Hamdy Abdelwahab,method_excluded;outcome_nc,Overturned,NC/NC
