fighter,use_surname,gdelt_volume,gdelt_active_days
ilia topuria,false,3700,345
justin gaethje,true,3588,331
alex pereira,false,2898,333
conor mcgregor,false,2663,351
ciryl gane,false,2052,287
max holloway,true,1998,321
khamzat chimaev,true,1905,314
islam makhachev,true,1817,330
jon jones,false,1715,332
dustin poirier,true,1674,299
sean strickland,true,1666,289
charles oliveira,false,1451,330
sean o'malley,true,1445,268
michael chandler,false,1445,280
roosevelt roberts,true,1416,309
tom aspinall,true,1336,307
arman tsarukyan,true,1243,306
josh hokit,false,1220,106
joel alvarez,true,1200,262
kayla harrison,true,1163,309
merab dvalishvili,true,1150,272
tony ferguson,true,1145,297
derrick lewis,false,1116,189
alexander volkanovski,true,1052,283
diego lopes,false,1036,211
elisha ellison,true,915,152
magomed ankalaev,true,864,220
joaquin buckley,true,864,228
jordan leavitt,true,852,122
kyler phillips,true,850,256
robert whittaker,true,833,217
ode osbourne,true,783,191
dan hooker,true,780,240
sam hughes,true,734,283
petr yan,false,729,206
belal muhammad,false,727,236
bo nickal,true,703,168
max griffin,true,692,198
kamaru usman,false,661,245
preston parsons,true,654,186
aiemann zahabi,true,642,117
mauricio ruffy,false,628,152
jiri prochazka,true,627,184
joshua van,false,614,180
valentina shevchenko,true,596,207
lerone murphy,false,580,172
cory sandhagen,true,569,173
anthony hernandez,false,559,165
colby covington,true,556,191
nassourdine imavov,true,553,190
steve garcia,false,548,90
ian machado garry,false,536,198
carlos ulberg,true,528,149
manel kape,false,518,130
umar nurmagomedov,false,518,170
alexandre pantoja,true,515,186
movsar evloev,true,491,181
kyle daukaus,true,484,92
brian ortega,true,483,187
henry cejudo,true,480,211
eryk anders,true,476,203
jack jenkins,true,471,172
gillian robertson,true,466,204
jean silva,false,463,166
nathan fletcher,true,459,186
tatsuro taira,false,458,134
chris weidman,true,449,130
clayton carpenter,true,444,143
paulo costa,false,436,151
tallison teixeira,true,427,148
aaron pico,false,427,115
kevin holland,false,426,153
caio borralho,true,422,143
denzel freeman,true,421,167
kron gracie,true,409,116
waldo cortes acosta,true,405,137
rafael fiziev,true,403,140
zhang weili,false,402,145
victoria leonardo,true,398,160
michael morales,false,395,149
curtis blaydes,true,393,137
deiveson figueiredo,true,381,138
alexander volkov,true,375,137
brendan allen,false,370,128
sean brady,false,365,121
manuel torres,true,349,158
casey o'neill,true,339,138
mateusz gamrot,true,330,129
aj cunningham,true,329,94
danny barlow,true,324,61
brandon royval,true,323,133
beneil dariush,true,308,127
mackenzie dern,false,306,107
joe pyfer,false,306,94
tatiana suarez,true,306,137
luke fernandez,true,305,181
josh emmett,true,301,119
brandon moreno,false,300,122
jose aldo,false,297,155
gilbert burns,false,294,143
renato moicano,true,293,157
felipe franco,true,284,129
lone''er kavanagh,true,279,106
sam patterson,true,276,124
mario bautista,false,275,114
lucas brennan,true,272,151
johnny walker,false,271,98
stipe miocic,true,270,153
mitch ramirez,true,268,133
dominick reyes,false,268,101
bryce mitchell,false,266,109
jared cannonier,true,263,93
geoff neal,false,263,84
jeremy stephens,true,263,137
julian marquez,true,262,134
khalil rountree jr.,false,257,111
roberto romero,true,256,147
alexa grasso,true,253,101
michael johnson,false,253,85
isaac thomson,true,252,117
dan ige,false,251,93
patricio pitbull,true,249,111
chris barnett,true,237,122
roman dolidze,true,234,92
sergei pavlovich,true,229,126
gable steveson,true,228,119
shavkat rakhmonov,true,224,125
arnold allen,false,222,96
virna jandiroba,true,221,78
azamat murzakanov,true,220,64
rose namajunas,true,217,92
kyoji horiguchi,true,216,85
steven nguyen,true,216,103
jaqueline amorim,true,215,130
roman kopylov,true,214,74
ateba gautier,true,212,87
daniel marcos,true,212,102
jamahal hill,false,212,118
gabriel bonfim,false,206,58
neil magny,false,202,102
jailton almeida,false,202,82
louie sutherland,true,202,95
ben johnston,true,201,115
kai asakura,true,201,72
terrance mckinney,true,200,90
cub swanson,true,198,104
stephen thompson,false,198,96
chris gutierrez,true,197,110
dustin jacoby,true,194,101
jan blachowicz,true,193,102
randy brown,false,189,81
michael page,false,183,62
abdul razak alhassan,true,182,125
molly mccann,true,182,110
jose daniel medina,true,180,96
charles johnson,false,176,84
marvin vettori,true,175,85
youssef zalal,false,174,70
