fighter,fm_name,fm_method,wiki_title,wiki_status
Rose Namajunas,,unmatched,Rose Namajunas,matched
Ashley Yoder,,unmatched,Ashley Yoder,matched
Gloria de Paula,,unmatched,Gloria de Paula,matched
Tatiana Suarez,Tatiana Suarez,direct,Tatiana Suarez,matched
Shauna Bannon,,unmatched,,alias_no_article
Jessica Penne,,unmatched,Jessica Penne,matched
Amanda Ribas,Amanda Ribas,direct,Amanda Ribas,matched
Alexia Thainara,Alexia Thainara,direct,,alias_no_article
Denise Gomes,Denise Gomes,direct,Denise Gomes,matched
Yan Xiaonan,Xiaonan Yan,token_sort,Yan Xiaonan,matched
